character_id,form_id,form_name,era,power_level,visual_difference,combat_difference,is_persistent_form,is_temporary_form,is_technique,is_coop,standalone_hero_score,awakening_score,canon_type,canon_source,notes
a-fourth-raikage,form-a-fourth-raikage-lightning-armor,Lightning Armor,FIVE_KAGE_SUMMIT,10,10,10,true,false,false,false,0,92,MANGA_CANON,https://naruto.fandom.com/wiki/Lightning_Release_Chakra_Mode,Reserved exclusively as Awakening of fourth-raikage-base.
a-fourth-raikage,form-a-fourth-raikage-raikage,Raikage,FIVE_KAGE_SUMMIT,5,6,6,true,false,false,false,91,0,MANGA_CANON,https://naruto.fandom.com/wiki/Lightning_Release_Chakra_Mode,Base form of proposed hero fourth-raikage-base.
ajisai,form-ajisai-animal-path-vessel,Animal Path Vessel,SOURCE_ERA,0,3,3,false,false,false,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Corpse/vessel identity for Pain content, not Ajisai's normal Awakening."
ajisai,form-ajisai-rain-kunoichi,Rain Kunoichi,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero ajisai-core.
akatsuchi,form-akatsuchi-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,68,0,MANGA_CANON,https://naruto.fandom.com/wiki/Akatsuchi;https://naruto.fandom.com/wiki/Earth_Release%3A_Golem_Technique,Synthetic neutral form-pool entry representing the character themselves; not an additional legacy variant.
akatsuchi,form-akatsuchi-stone-golem,Stone Golem,SOURCE_ERA,5,6,6,false,false,true,false,0,0,MANGA_CANON,current variant census; current kit seed=earth,"Earth Release: Golem Technique is a jutsu used by Akatsuchi, not a persistent body/form transformation."
akatsuchi,form-akatsuchi-tsuchikage-guard,Tsuchikage Guard,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
ameyuri-ringo,form-ameyuri-ringo-kiba-wielder,Kiba Wielder,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=storm,Base form of proposed hero ameyuri-ringo-core.
ameyuri-ringo,form-ameyuri-ringo-reanimated,Reanimated,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
anko-mitarashi,form-anko-mitarashi-chunin-exams-proctor,Chunin Exams Proctor,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=orochimaru,Base form of proposed hero anko-mitarashi-core.
