hero_id,slot,source_technique_id,name_en,name_vi,channel,ability_kind,trigger_type,is_signature,rage_cost,rage_gain,cooldown_ms,cast_time_ms,impact_ms,recovery_ms,target_selector,effect_profile_id,special_mechanic,cinematic_mode,animation_key,vfx_key,sfx_key,voice_line,description_en,description_vi,canon_source,canon_confidence,counterplay,balance_status,review_status,research_note
naruto-genin,BASIC,basic-punch,Clone Feint Strike,Đòn Đánh Phân Thân,PHYSICAL,BASIC,BASIC_AUTO,false,0,15,0,0,120,180,FRONTMOST_ENEMY,basic-punch,Short melee sequence supported by a shadow-clone feint,NONE,skills/naruto-genin/basic/animation,skills/naruto-genin/basic/vfx,skills/naruto-genin/basic/sfx,,Strike the front enemy and gain Rage.,Tấn công kẻ địch hàng trước và nhận Nộ.,Naruto Part I combat identity,HIGH_CANON_FIT,Basic melee remains interruptible by hard control.,EXPERIMENTAL,READY_DESIGN,Part I baseline avoids later Wind Release techniques.
naruto-genin,SKILL_1,rasengan,Rasengan,Loa Toàn Hoàn,CHAKRA,RAGE_SKILL,RAGE_FULL,true,100,0,0,450,900,750,FRONTMOST_ENEMY,rasengan,Signature single-target burst with partial guard penetration,MINI_CINEMATIC,skills/naruto-genin/skill_1/animation,skills/naruto-genin/skill_1/vfx,skills/naruto-genin/skill_1/sfx,Naruto!,Naruto rushes in with a shadow-clone-assisted Rasengan for heavy chakra damage.,Naruto lao tới cùng phân thân và tung Rasengan gây sát thương chakra lớn.,Narutopedia Naruto Uzumaki - Rasengan acquired during Part I,HIGH_CANON_FIT,Can be interrupted during windup; mitigation and shields still apply.,EXPERIMENTAL,READY_DESIGN,Replaces invalid Part I Rasenshuriken candidate.
naruto-genin,SKILL_2,shadow-clone-rush,Shadow Clone Rush,Liên Kích Ảnh Phân Thân,PHYSICAL,ACTIVE_SKILL,COOLDOWN,false,0,0,5500,200,450,420,FRONTMOST_ENEMY,shadow-clone-rush,Multi-hit physical pressure,NONE,skills/naruto-genin/skill_2/animation,skills/naruto-genin/skill_2/vfx,skills/naruto-genin/skill_2/sfx,,Shadow clones surround the front enemy with a multi-hit rush.,Ảnh phân thân bao vây kẻ địch hàng trước và liên kích.,Naruto Part I Shadow Clone combat,HIGH_CANON_FIT,Armor and damage reduction mitigate each hit.,EXPERIMENTAL,READY_DESIGN,Core Part I clone identity.
naruto-genin,SKILL_3,kunai-volley,Trickster Kunai Volley,Loạt Phi Tiêu Đánh Lạc Hướng,PHYSICAL,ACTIVE_SKILL,COOLDOWN,false,0,0,8000,150,350,400,RANDOM_ENEMY,kunai-volley,Creates ranged pressure without borrowing later techniques,NONE,skills/naruto-genin/skill_3/animation,skills/naruto-genin/skill_3/vfx,skills/naruto-genin/skill_3/sfx,,Throw a clone-assisted kunai volley at a random enemy.,Phối hợp phân thân ném loạt kunai vào một kẻ địch ngẫu nhiên.,Part I standard ninja tools plus Shadow Clone design interpretation,DESIGN_INTERPRETATION,Dodge and physical defense reduce its value.,EXPERIMENTAL,READY_DESIGN,Conservative early-era third active slot.
naruto-genin,PASSIVE,passive-will-of-fire,Never Give Up,Không Bao Giờ Bỏ Cuộc,CHAKRA,PASSIVE,HP_THRESHOLD,false,0,0,0,0,0,0,SELF,passive-will-of-fire,Once per battle low-HP Rage and resilience boost,NONE,skills/naruto-genin/passive/animation,skills/naruto-genin/passive/vfx,skills/naruto-genin/passive/sfx,,Once per battle at low HP gain Rage and a short defensive boost.,Một lần mỗi trận khi HP thấp nhận Nộ và tăng phòng thủ trong thời gian ngắn.,Naruto Part I perseverance character theme,DESIGN_INTERPRETATION,Once-per-battle limit and dispellable defensive buff.,EXPERIMENTAL,READY_DESIGN,Gameplay passive inspired by persistent Part I characterization rather than a named jutsu.
naruto-sage,BASIC,basic-punch,Sage-Enhanced Strike,Đòn Đánh Tiên Nhân,PHYSICAL,BASIC,BASIC_AUTO,false,0,15,0,0,100,170,FRONTMOST_ENEMY,basic-punch,Natural-energy-enhanced melee,NONE,skills/naruto-sage/basic/animation,skills/naruto-sage/basic/vfx,skills/naruto-sage/basic/sfx,,Strike with Sage-enhanced physical power and gain Rage.,Tấn công bằng sức mạnh Tiên Nhân và nhận Nộ.,Narutopedia Sage Mode Naruto,HIGH_CANON_FIT,Standard melee counterplay.,EXPERIMENTAL,READY_DESIGN,Sage stats flavor without consuming Frog Kata active identity.
naruto-sage,SKILL_1,rasenshuriken,Wind Release: Rasenshuriken,Phong Độn: Rasenshuriken,CHAKRA,RAGE_SKILL,RAGE_FULL,true,100,0,0,600,1000,800,LOWEST_HP_ENEMY,rasenshuriken,High burst with defense-shred style follow-up,MINI_CINEMATIC,skills/naruto-sage/skill_1/animation,skills/naruto-sage/skill_1/vfx,skills/naruto-sage/skill_1/sfx,Rasenshuriken!,Enter a focused Sage stance and hurl a Rasenshuriken at the weakest enemy for heavy damage.,Vào thế Tiên Nhân tập trung rồi ném Rasenshuriken vào kẻ địch ít HP nhất gây sát thương lớn.,Narutopedia Naruto Uzumaki and Sage Mode - thrown Rasenshuriken in Sage combat,HIGH_CANON_FIT,Interruptible windup; shields and damage reduction remain meaningful.,EXPERIMENTAL,READY_DESIGN,Signature Pain-arc Sage climax.
naruto-sage,SKILL_2,sage-frog-kata,Frog Kata,Oa Tổ Thủ,PHYSICAL,ACTIVE_SKILL,COOLDOWN,false,0,0,5000,100,300,350,FRONTMOST_ENEMY,sage-frog-kata,Short-range invisible natural-energy reach with accuracy pressure,NONE,skills/naruto-sage/skill_2/animation,skills/naruto-sage/skill_2/vfx,skills/naruto-sage/skill_2/sfx,,Use natural energy around the body to strike beyond normal melee reach.,Dùng tự nhiên năng lượng bao quanh cơ thể để đánh vượt ngoài tầm cận chiến thông thường.,Narutopedia Frog Kata; Naruto manga chapter 420,HIGH_CANON_FIT,Short cooldown but single target and lower burst than Rage Skill.,EXPERIMENTAL,READY_DESIGN,Exclusive Sage fighting-style identity.
naruto-sage,SKILL_3,rasengan,Sage Rasengan,Tiên Pháp Rasengan,CHAKRA,ACTIVE_SKILL,COOLDOWN,false,0,0,7500,250,500,450,FRONTMOST_ENEMY,rasengan,Medium burst and stagger pressure,NONE,skills/naruto-sage/skill_3/animation,skills/naruto-sage/skill_3/vfx,skills/naruto-sage/skill_3/sfx,,Drive a Sage-enhanced Rasengan into the front enemy.,Dùng Rasengan được cường hóa bởi Tiên Nhân đánh vào kẻ địch hàng trước.,Narutopedia Naruto Uzumaki Sage Mode Rasengan usage,HIGH_CANON_FIT,Single-target and interruptible approach.,EXPERIMENTAL,READY_DESIGN,Rasengan remains important but below Rasenshuriken climax.
naruto-sage,PASSIVE,passive-sage,Sage Sensing,Cảm Nhận Tiên Nhân,CHAKRA,PASSIVE,BATTLE_START,false,0,0,0,0,0,0,SELF,passive-sage,Accuracy and control-resistance baseline from Sage perception,NONE,skills/naruto-sage/passive/animation,skills/naruto-sage/passive/vfx,skills/naruto-sage/passive/sfx,,At battle start gain improved accuracy and resistance to control.,Khi bắt đầu trận tăng chính xác và kháng hiệu ứng khống chế.,Narutopedia Naruto Uzumaki Sage Mode sensing,HIGH_CANON_FIT,Passive bonuses are moderate and can be overcome by dedicated control builds.,EXPERIMENTAL,READY_DESIGN,Converts Sage sensory identity into readable combat utility.
