hero_id,slot,source_technique_id,name_en,name_vi,trigger_type,rage_cost,rage_gain,cooldown_ms,cast_time_ms,impact_ms,recovery_ms,target_selector,special_mechanic,cinematic_mode,description_en,description_vi,canon_source,canon_confidence,counterplay,balance_status,review_status,research_note
sasuke-genin,BASIC,basic-kunai,Shuriken Feint,Phi Tiêu Đánh Lạc Hướng,BASIC_AUTO,0,15,0,0,100,170,FRONTMOST_ENEMY,Part I weapon feint,NONE,Throw and follow with a fast close-range strike while gaining Rage.,Ném phi tiêu rồi áp sát tấn công nhanh và nhận Nộ.,Sasuke Uchiha Part I standard ninja tools,HIGH_CANON_FIT,Standard physical mitigation and dodge.,EXPERIMENTAL,READY_DESIGN,Removes Shippuden sword identity from Genin basic.
sasuke-genin,SKILL_1,chidori,Chidori,Thiên Điểu,RAGE_FULL,100,0,0,550,900,750,LOWEST_HP_ENEMY,High-speed piercing signature with guard penetration,MINI_CINEMATIC,Charge lightning in the hand and rush the weakest enemy with Chidori.,Tụ sét trong tay rồi lao vào kẻ địch ít HP nhất bằng Thiên Điểu.,Narutopedia Sasuke Uchiha Part I Chidori; Kakashi training,HIGH_CANON_FIT,Interruptible charge and single-target commitment.,EXPERIMENTAL,READY_DESIGN,Replaces invalid Part I Kirin candidate.
sasuke-genin,SKILL_2,fireball-jutsu,Fire Release: Great Fireball Technique,Hỏa Độn: Hào Hỏa Cầu,COOLDOWN,0,0,5500,300,550,420,FRONTMOST_ENEMY,Baseline Uchiha fire pressure,NONE,Launch a large fireball at the front enemy.,Phóng Hào Hỏa Cầu vào kẻ địch hàng trước.,Narutopedia Sasuke Uchiha Part I Fire Release,HIGH_CANON_FIT,Cast can be interrupted; fire resistance mitigates damage.,EXPERIMENTAL,READY_DESIGN,Iconic early Uchiha ninjutsu.
sasuke-genin,SKILL_3,taijutsu-combo,Lion Combo,Sư Tử Liên Đạn,COOLDOWN,0,0,7500,100,450,400,FRONTMOST_ENEMY,Multi-hit aerial taijutsu,NONE,Launch the target and finish with a rapid taijutsu combination.,Hất tung mục tiêu rồi kết thúc bằng chuỗi thể thuật nhanh.,Narutopedia Sasuke Uchiha Part I Lion Combo,HIGH_CANON_FIT,Physical defense and anti-launch immunity reduce value.,EXPERIMENTAL,READY_DESIGN,Part I-specific taijutsu identity.
sasuke-genin,PASSIVE,passive-sharingan,Sharingan Insight,Động Sát Sharingan,BATTLE_START,0,0,0,0,0,0,SELF,Accuracy and dodge-read bonus,NONE,Gain accuracy and a modest dodge bonus at battle start.,Tăng chính xác và né tránh nhẹ khi bắt đầu trận.,Narutopedia Sasuke Uchiha Sharingan Part I,HIGH_CANON_FIT,Passive values are moderate and do not grant hard immunity.,EXPERIMENTAL,READY_DESIGN,Early Sharingan utility without Mangekyo mechanics.
sasuke-hebi,BASIC,basic-sword,Kusanagi Slash,Trảm Kusanagi,BASIC_AUTO,0,15,0,0,90,160,FRONTMOST_ENEMY,Kenjutsu basic with lightning-ready stance,NONE,Slash with the Sword of Kusanagi and gain Rage.,Chém bằng kiếm Kusanagi và nhận Nộ.,Narutopedia Sasuke Uchiha Hebi kenjutsu,HIGH_CANON_FIT,Standard melee counterplay.,EXPERIMENTAL,READY_DESIGN,Hebi-era sword identity.
sasuke-hebi,SKILL_1,kirin,Kirin,Kỳ Lân,RAGE_FULL,100,0,0,1100,1700,850,ALL_ENEMIES,Natural-lightning climax with preparation represented by long windup,MINI_CINEMATIC,Prepare storm conditions and call natural lightning down as Kirin for massive area damage.,Tạo điều kiện giông bão rồi dẫn sét tự nhiên thành Kỳ Lân gây sát thương diện rộng cực lớn.,Narutopedia Kirin; Sasuke versus Itachi,HIGH_CANON_FIT,Very long telegraph and interruptible preparation; defensive skills can be timed against impact.,EXPERIMENTAL,READY_DESIGN,Hebi signature climax is Kirin rather than later Mangekyo techniques.
sasuke-hebi,SKILL_2,chidori,Chidori Stream,Thiên Điểu Lưu,COOLDOWN,0,0,5000,150,350,380,ALL_ENEMIES,Close-range lightning discharge and brief stagger,NONE,Discharge Chidori around the body to damage nearby enemies.,Phóng Thiên Điểu quanh cơ thể gây sát thương các kẻ địch gần.,Sasuke Uchiha Shippuden Chidori variants,HIGH_CANON_FIT,Short range and moderate damage; control resistance reduces stagger.,EXPERIMENTAL,READY_DESIGN,Represents evolved Chidori mastery.
sasuke-hebi,SKILL_3,fireball-jutsu,Fire Release: Great Dragon Fire,Hỏa Độn: Long Hỏa,COOLDOWN,0,0,8000,450,750,480,LOWEST_HP_ENEMY,Heavy fire projectile that supports Kirin theme,NONE,Fire a powerful dragon-shaped flame at a vulnerable enemy.,Phóng ngọn lửa hình rồng mạnh mẽ vào kẻ địch đang suy yếu.,Narutopedia Sasuke Uchiha Great Dragon Fire/Kirin preparation,HIGH_CANON_FIT,Longer cast and fire resistance provide counterplay.,EXPERIMENTAL,READY_DESIGN,Uses existing fire effect profile while preserving Hebi narrative link to Kirin.
sasuke-hebi,PASSIVE,passive-sharingan,Sharingan Prediction,Dự Đoán Sharingan,AFTER_DAMAGE_TAKEN,0,0,0,0,0,0,SELF,Periodic defensive read after receiving damage,NONE,After taking damage gain a short non-stacking evasion boost with an internal cooldown.,Sau khi chịu sát thương nhận tăng né tránh ngắn không cộng dồn và có hồi nội bộ.,Narutopedia Sasuke Uchiha Sharingan combat perception,HIGH_CANON_FIT,Internal cooldown prevents permanent evasion uptime.,EXPERIMENTAL,READY_DESIGN,Hebi tactical Sharingan identity.
