character_id,old_variant,old_variant_id,classification,new_hero_id,new_awakening_form_id,new_skill_id,new_skin_id,temporary_state_id,migration_action,reason,confidence
a-fourth-raikage,Lightning Armor,form-a-fourth-raikage-lightning-armor,AWAKENING_FORM,,awakening-fourth-raikage-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of fourth-raikage-base.,HIGH
a-fourth-raikage,Raikage,form-a-fourth-raikage-raikage,COLLECTIBLE_HERO_VERSION,fourth-raikage-base,,,,,KEEP_AS_HERO,Base form of proposed hero fourth-raikage-base.,HIGH
ajisai,Animal Path Vessel,form-ajisai-animal-path-vessel,SPECIAL_INDEPENDENT_CHARACTER,,,,,,MERGE,"Corpse/vessel identity for Pain content, not Ajisai's normal Awakening.",HIGH
ajisai,Rain Kunoichi,form-ajisai-rain-kunoichi,COLLECTIBLE_HERO_VERSION,ajisai-core,,,,,KEEP_AS_HERO,Base form of proposed hero ajisai-core.,HIGH
akatsuchi,Stone Golem,form-akatsuchi-stone-golem,COLLECTIBLE_HERO_VERSION,akatsuchi-core,,,,,KEEP_AS_HERO,Base form of proposed hero akatsuchi-core.,HIGH
akatsuchi,Tsuchikage Guard,form-akatsuchi-tsuchikage-guard,COSMETIC_SKIN,,,,skin-akatsuchi-tsuchikage-guard,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
ameyuri-ringo,Kiba Wielder,form-ameyuri-ringo-kiba-wielder,COLLECTIBLE_HERO_VERSION,ameyuri-ringo-core,,,,,KEEP_AS_HERO,Base form of proposed hero ameyuri-ringo-core.,HIGH
ameyuri-ringo,Reanimated,form-ameyuri-ringo-reanimated,COSMETIC_SKIN,,,,skin-ameyuri-ringo-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
anko-mitarashi,Chunin Exams Proctor,form-anko-mitarashi-chunin-exams-proctor,COLLECTIBLE_HERO_VERSION,anko-mitarashi-core,,,,,KEEP_AS_HERO,Base form of proposed hero anko-mitarashi-core.,HIGH
anko-mitarashi,Cursed Seal Survivor,form-anko-mitarashi-cursed-seal-survivor,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
ao,Byakugan Hunter,form-ao-byakugan-hunter,COLLECTIBLE_HERO_VERSION,ao-core,,,,,KEEP_AS_HERO,Base form of proposed hero ao-core.,HIGH
ao,Sensor Captain,form-ao-sensor-captain,COSMETIC_SKIN,,,,skin-ao-sensor-captain,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
aoba-yamashiro,Intelligence Corps,form-aoba-yamashiro-intelligence-corps,COSMETIC_SKIN,,,,skin-aoba-yamashiro-intelligence-corps,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
aoba-yamashiro,Jonin,form-aoba-yamashiro-jonin,COLLECTIBLE_HERO_VERSION,aoba-yamashiro-core,,,,,KEEP_AS_HERO,Base form of proposed hero aoba-yamashiro-core.,HIGH
aoda,Great Snake,form-aoda-great-snake,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
