skill_id,source_technique_id,canon_source,canon_confidence,status,design_reason
hvs-gaara-genin-ultimate,tailed-cloak,M47_VERSION_FIT_REVIEW,DESIGN_INTERPRETATION,M47_CANON_DIRECTION_BASELINE,Part I Gaara must retain a jinchuriki-era combat identity distinct from Kazekage Gaara; M50 must replace/tune with the final researched signature Rage Skill.
hvs-itachi-anbu-skill-2,genjutsu-eye,M47_VERSION_FIT_REVIEW,DESIGN_INTERPRETATION,M47_CANON_DIRECTION_BASELINE,ANBU Itachi must not reuse the complete Akatsuki Mangekyo-heavy kit; generic ocular genjutsu is kept as a conservative pre-final identity marker.
hvs-kabuto-part1-skill-2,mystical-palm,M47_VERSION_FIT_REVIEW,DESIGN_INTERPRETATION,M47_CANON_DIRECTION_BASELINE,Part I Kabuto emphasizes medical-nin competence and must not share the complete later-form kit.
hvs-kakashi-young-ultimate,chidori,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,Young Kakashi uses his Chidori-era identity and must not execute Kamui.
hvs-kakashi-anbu-ultimate,lightning-blade,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,ANBU Kakashi is separated from War Kakashi by a Lightning Blade climax instead of Kamui.
hvs-madara-rinnegan-passive,passive-rinnegan,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,Rinnegan Madara must expose Rinnegan identity distinct from the EMS version.
hvs-minato-edo-skill-2,tailed-cloak,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,Edo Minato is differentiated through his later Kurama chakra access; final trigger/timing belongs to M50.
hvs-naruto-hokage-ultimate,tailed-beast-bomb,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,Hokage Naruto must not reuse the exact Six Paths five-slot kit; this preserves adult Kurama combat identity pending final Rage Skill research.
hvs-obito-young-skill-2,fireball-jutsu,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,Young Obito must not inherit the complete masked Kamui/Rinnegan-era kit.
hvs-obito-white-mask-passive,passive-rinnegan,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,White Mask Obito carries explicit Rinnegan-era identity distinct from masked and young versions.
hvs-rock-lee-genin-skill-2,body-flicker,M47_VERSION_FIT_REVIEW,DESIGN_INTERPRETATION,M47_CANON_DIRECTION_BASELINE,Genin Lee needs a distinct early speed-taijutsu slot; M50 must replace this conservative proxy with a researched exact named technique if appropriate.
hvs-sakura-genin-skill-2,kunai-volley,M47_VERSION_FIT_REVIEW,DESIGN_INTERPRETATION,M47_CANON_DIRECTION_BASELINE,Genin Sakura must not inherit the complete Shippuden medical/strength kit; this conservative early-combat proxy is explicitly pending M50 research.
hvs-sasuke-genin-ultimate,chidori,M47_VERSION_FIT_REVIEW,HIGH_CANON_FIT,M47_CANON_DIRECTION_BASELINE,Genin Sasuke must not inherit Hebi's later signature climax; Chidori preserves the Part I identity while M50 finalizes Rage Skill design.
