hero_id,character_id,hero_version_name,base_form_id,awakening_form_id,awakening_name,hero_version_score,pair_score,role,era,awakening_type,canon_confidence,source_reference,design_reason,status
fourth-raikage-base,a-fourth-raikage,Fourth Raikage,form-a-fourth-raikage-raikage,form-a-fourth-raikage-lightning-armor,Lightning Release Chakra Mode,91,92,BRUISER_ASSASSIN,FIVE_KAGE_SUMMIT,CHAKRA_MODE,MANGA_CANON,https://naruto.fandom.com/wiki/Lightning_Release_Chakra_Mode,Lightning Release Chakra Mode visibly changes aura/speed and is the core high-power state.,PROPOSED_RESEARCH_BASELINE
ajisai-core,ajisai,ajisai [Core],form-ajisai-rain-kunoichi,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
akatsuchi-core,akatsuchi,Akatsuchi,form-akatsuchi-base,,,68,,FLEX,SOURCE_ERA,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Akatsuchi;https://naruto.fandom.com/wiki/Earth_Release%3A_Golem_Technique,Character retained as one collectible base hero; legacy ability label is migrated into the explicit kit instead of being treated as a form.,PROPOSED_RESEARCH_BASELINE
ameyuri-ringo-core,ameyuri-ringo,ameyuri-ringo [Core],form-ameyuri-ringo-kiba-wielder,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=storm,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
anko-mitarashi-core,anko-mitarashi,anko-mitarashi [Core],form-anko-mitarashi-chunin-exams-proctor,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=orochimaru,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
ao-core,ao,ao [Core],form-ao-byakugan-hunter,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
aoba-yamashiro-core,aoba-yamashiro,aoba-yamashiro [Core],form-aoba-yamashiro-jonin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
asuma-sarutobi-core,asuma-sarutobi,asuma-sarutobi [Core],form-asuma-sarutobi-jonin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
asura-base,asura-otsutsuki,Asura Otsutsuki,form-asura-otsutsuki-base,form-asura-otsutsuki-six-paths-avatar,Six Paths Avatar,84,89,BRUISER_SUPPORT,ANCIENT,CHAKRA_AVATAR,ANIME_CANON,https://naruto.fandom.com/wiki/Asura_%C5%8Ctsutsuki,The chakra avatar is the recognizable high-level escalation represented in the census.,PROPOSED_RESEARCH_BASELINE
atsui-core,atsui,atsui [Core],form-atsui-cloud-ninja,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=storm,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
