profile_id,category,status,min_samples,min_distinct_contexts,min_evidence_refs,description
experimental-combat-stats-v1,COMBAT_STATS,EXPERIMENTAL,30,10,3,Temporary derived stats for catalog characters/forms
experimental-v1-unverified-formula,DAMAGE_FORMULA,EXPERIMENTAL,50,15,3,Temporary deterministic damage/crit/defense ruleset
complete-roster-hero-version-experimental-v2,SUMMON_PROFILE,EXPERIMENTAL,500,10,3,Development Complete Roster+ summon rates over approved collectible Hero Versions only
experimental-level-cost-v1,LEVEL_COST,EXPERIMENTAL,20,10,2,Temporary hero level-up Gold cost profile
experimental-ability-cycle-v1,ABILITY_CYCLE,EXPERIMENTAL,60,20,3,Temporary ability coefficients/cooldowns while Rage runtime stabilizes
experimental-structured-effects-v1,STRUCTURED_EFFECTS,EXPERIMENTAL,100,30,4,Temporary real-time targeting/heal/shield/status/cleanse/revive/DOT semantics
experimental-technique-mapping-v1,TECHNIQUE_MAPPING,EXPERIMENTAL,120,40,4,Temporary canonical technique-to-effect mapping and fallback rules
experimental-passive-lifecycle-v1,PASSIVE_LIFECYCLE,EXPERIMENTAL,80,20,3,Temporary event/time-based passive trigger thresholds and reaction semantics
experimental-realtime-timing-v1,REALTIME_TIMING,EXPERIMENTAL,150,40,5,Continuous-time SPD attack interval/cast/recovery/battle timeout profile
experimental-rage-v1,RAGE_RULES,EXPERIMENTAL,150,40,5,Rage 0-100 gain/cost/ready behavior; exact gains require parity evidence
